RecordID,Stock Number,Carat,Color,Clarity,Lab,Price,Store
1,EZH-133,0.5,D,VS2,GIA,998.40,Apple Valley
2,ADW-112,0.53,D,VVS1,GIA,1175.16,Apple Valley
3,WCN-631,0.7,D,SI1,GIA,1800.93,Apple Valley
4,WCN-630,0.7,D,SI1,GIA,1800.93,Apple Valley
5,KLH-341,0.7,E,VS2,GIA,1885.08,Apple Valley
6,EZH-182,0.7,D,SI1,GIA,1800.93,Apple Valley
7,EZH-167,0.7,D,VS2,GIA,1942.30,Apple Valley
8,EZH-192,0.7,E,SI1,GIA,1715.17,Apple Valley
9,RCH-209,0.7,F,VS2,GIA,1834.56,Apple Valley
10,WPH-241,0.7,E,SI1,GIA,1715.17,Apple Valley
11,WPH-229,0.7,F,VS2,GIA,1834.56,Apple Valley
12,WCN-632,0.71,D,SI1,GIA,1826.65,Apple Valley
13,AWT-276,0.72,E,VS2,GIA,1938.94,Apple Valley
14,WPH-245,0.72,E,SI1,GIA,1764.17,Apple Valley
15,WCN-811,0.74,D,SI1,GIA,1903.84,Apple Valley
16,WCN-259,0.9,E,SI1,GIA,3219.56,Apple Valley
17,WCN-258,0.9,E,SI1,GIA,3219.56,Apple Valley
18,WCN-629,0.9,G,SI2,GIA,2609.57,Apple Valley
19,WCN-328,0.9,F,SI1,GIA,3050.33,Apple Valley
20,WCN-260,0.9,H,SI1,GIA,2800.51,Apple Valley
21,AKH-262,0.9,H,SI2,GIA,2555.28,Apple Valley
22,WCN-926,0.9,E,SI1,GIA,3219.56,Apple Valley
23,WCN-329,0.9,D,SI2,GIA,2755.58,Apple Valley
24,WCN-257,0.9,D,SI2,GIA,2755.58,Apple Valley
25,WCN-327,0.9,D,SI1,GIA,3294.72,Apple Valley
26,WCN-173,0.96,H,SI2,GIA,2725.63,Apple Valley
27,KGN-220,0.96,I,VS2,GIA,2654.60,Apple Valley
28,WCN-172,0.96,E,SI2,GIA,2855.42,Apple Valley
29,WCN-194,1,G,SI2,GIA,3159.52,Apple Valley
30,WCN-188,1,G,VS2,GIA,4183.30,Apple Valley
31,WCN-176,1,D,SI2,GIA,3660.80,Apple Valley
32,WCN-190,1,G,SI1,GIA,3675.36,Apple Valley
33,WCN-193,1,G,SI2,GIA,3159.52,Apple Valley
34,WCN-203,1,H,SI2,GIA,3006.74,Apple Valley
35,WCN-202,1,H,SI2,GIA,3006.74,Apple Valley
36,WCN-181,1,E,VS2,GIA,4506.32,Apple Valley
37,WCN-197,1,G,SI2,GIA,3159.52,Apple Valley
38,WCN-191,1,G,SI2,GIA,3159.52,Apple Valley
39,WCN-201,1,H,SI2,GIA,3006.74,Apple Valley
40,AKH-273,1,D,SI2,GIA,3660.80,Apple Valley
41,WCN-200,1,H,SI2,GIA,3006.74,Apple Valley
42,WCN-183,1,E,SI1,GIA,3923.61,Apple Valley
43,WCN-182,1,E,SI1,GIA,3923.61,Apple Valley
44,WCN-185,1,F,VS2,GIA,4455.36,Apple Valley
45,KGN-229,1,F,SI2,GIA,3341.52,Apple Valley
46,WCN-186,1,F,SI1,GIA,3806.40,Apple Valley
47,WCN-198,1,H,SI1,GIA,3398.93,Apple Valley
48,AKH-236,1,F,SI2,GIA,3341.52,Apple Valley
49,KGN-236,1,G,SI2,GIA,3159.52,Apple Valley
50,AKH-727,1,F,SI2,GIA,3341.52,Apple Valley
51,WCN-264,1,D,SI2,GIA,3660.80,Apple Valley
52,WPH-166,1,F,SI2,GIA,3341.52,Apple Valley
53,WCN-180,1,D,SI2,GIA,3660.80,Apple Valley
54,WCN-179,1,D,SI2,GIA,3660.80,Apple Valley
55,KGN-245,1,I,SI2,GIA,2765.20,Apple Valley
56,WCN-206,1,H,SI2,GIA,3006.74,Apple Valley
57,WCN-302,1,G,VS2,GIA,4183.30,Apple Valley
58,WCN-184,1,E,SI2,GIA,3362.32,Apple Valley
59,WCN-175,1,D,SI1,GIA,4050.18,Apple Valley
60,WCN-189,1,G,VS2,GIA,4183.30,Apple Valley
61,WCN-177,1,D,SI2,GIA,3660.80,Apple Valley
62,WCN-174,1,D,SI1,GIA,4050.18,Apple Valley
63,WCN-204,1.01,H,SI2,GIA,3036.81,Apple Valley
64,KFN-905,1.01,D,SI2,GIA,3697.41,Apple Valley
65,WCN-326,1.01,G,SI2,GIA,3191.12,Apple Valley
66,AWH-714,1.01,D,SI2,GIA,3697.41,Apple Valley
67,AKH-726,1.01,D,SI2,GIA,3697.41,Apple Valley
68,WCN-405,1.01,F,SI2,GIA,3374.94,Apple Valley
